Sample Number; Nï;Product;Proccesed by Heat;Type;Proccessed by salt;Country of Origin;Weight;Area ;Retailer;Sampling Date;Sampled by;Purchased;Delivered to UDL by
1;1;Peanut ;Roasted ;Pealed;No Salt;Argentina;0,106 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
2;2;Peanut ;Roasted ;Pealed;Salted;Argentina;0,112 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
3;3;Pistachios ;Roasted ;In- shell;No Salt;Greece;0,104 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
4;4;Pistachios ;Roasted ;In- shell;Salted;Greece;0,106 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
5;5;Peanut ;Roasted ;Unpealed;Salted;Argentina;0,104 kg;Omonoia;Varvakeiou yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
6;6;Pistachios ;Roasted ;In- shell;Salted;Greece;0,106 kg;Omonoia;Varvakeiou yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
7;7;Arachis (Peanut);Roasted ;In- shell;No Salt;Egypt;0,200 kg;Omonoia;Varvakeiou yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
8;8;Peanut;Roasted ;Pealed;Salted;Egypt;0,1 kg;Omonoia;no name;September 2023;Miliordos;In shop;Markou(2-12 October 23)
9;9;Peanut ;Roasted ;Unpealed;Salted;Egypt;0,1 kg;Omonoia;Genaiopoulos - Angel nuts;September 2023;Miliordos;In shop;Markou(2-12 October 23)
10;10;Peanut ;Roasted ;Unpealed;No Salt;Egypt;0,1 kg;Omonoia;Genaiopoulos - Angel nuts;September 2023;Miliordos;In shop;Markou(2-12 October 23)
11;11;Pistachios ;Roasted ;In- shell;Salted;Greece;0,25 kg;Omonoia;Greets;September 2023;Miliordos;In shop;Markou(2-12 October 23)
12;12;Peanut ;Roasted ;Pealed;Salted;Argentina;104 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
13;13;Peanut ;Roasted ;Pealed;No Salt;Argentina;0,102 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
14;14;Pistachios ;Roasted ;In- shell;Salted;Greece;0,110 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
15;15;Pistachios ;Roasted ;In- shell;No Salt;Greece;0,104 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
16;16;Arachis (Peanut);Roasted ;In- shell;Salted;Egypt;0,118 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
17;17;Arachis (Peanut);Roasted ;In- shell;No Salt;Egypt;0,100 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
18;149;Pistachios ;Roasted ;In- shell;Salted;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
19;185;Pistachios (nutmeat);Raw;In- shell;No Salt;Greece;0,100 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
20;928;Pistachios;Roasted ;In- shell;No Salt;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
21;409;Pistachios ;Raw;In- shell;No Salt;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
22;205;Pistachios (nutmeat);Roasted ;In- shell;Salted;Greece;0,100 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
23;143;Peanut;Roasted ;Unpealed;Salted;Greece;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
24;479;Peanut;Roasted ;Unpealed;Salted;Greece;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
25;2412;Peanut;Roasted ;Unpealed;Salted;Argentina;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
26;282;Peanut;Roasted ;Unpealed;Salted;Brazil;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
27;2762;Peanut;Raw;Unpealed;No Salt;Argentina;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
28;277;Peanut;Raw;Unpealed;No Salt;Greece;0,200 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
29;18;Arachis (Peanut);Roasted ;In- shell;No Salt;China;0,103 kg;Likovrysi;ITAP;December 2023;Miliordos;In shop;
30;19;Arachis (Peanut);Roasted ;In- shell;No Salt;Argentina;0,103 kg;Likovrysi;ITAP;December 2023;Miliordos;In shop;
31;20;Peanut ;Raw;Unpealed;No Salt;Argentina;0,166 kg;Likovrysi;ITAP;December 2023;Miliordos;In shop;
32;21;Peanut;Raw;Unpealed;No Salt;China;0,136 kg;Likovrysi;ITAP;December 2023;Miliordos;In shop;
33;22;Peanut ;Raw;Unpealed;No Salt;Argentina;0,170 kg;Likovrysi;ITAP;December 2023;Miliordos;In shop;
34;23;Pistachios ;Roasted ;In- shell;Salted;USA;0,122 kg;Varvakeios;no name;February 2024;Miliordos;In shop;
35;24;Arachis (Peanut);Roasted ;In- shell;Salted;Egypt;0,99 kg;Varvakeios;no name;February 2024;Miliordos;In shop;
36;25;Arachis (Peanut);Roasted ;In- shell;no salt;Egypt;0,102 kg;Varvakeios;no name;February 2024;Miliordos;In shop;
37;26;Peanut ;Roasted ;Unpealed;Salted;China;0,080kg;Varvakeios;no name;February 2024;Miliordos;In shop;
38;27;Arachis (Peanut);Roasted ;In- shell;Salted;China;0,096 kg;Varvakeios;no name;February 2024;Miliordos;In shop;
39;28;Arachis (Peanut);Roasted ;In- shell;no salt;China;0,096 kg;Varvakeios;no name;February 2024;Miliordos;In shop;
40;29;Peanut ;Roasted ;Unpealed;Salted;Iran;0,084 kg;Omonoia;no name;February 2024;Miliordos;In shop;
41;30;Pistachios;Raw;In- shell;no salt;Turkey;0,110 kg;Omonoia;no name;February 2024;Miliordos;In shop;
42;31;Arachis (Peanut);Roasted ;In- shell;Salted;egypt;0,095 kg;Omonoia;no name;February 2024;Miliordos;In shop;
43;32;Peanut ;Roasted ;Unpealed;Salted;Iran;0,071 kg;Marousi;no name;February 2024;Miliordos;In shop;
44;33;Peanut ;Raw;Unpealed;No Salt;China;0,070 kg;Marousi;no name;February 2024;Miliordos;In shop;
45;34;Peanut ;Raw;Unpealed;No Salt;Argentina;0,081 kg;Marousi;no name;February 2024;Miliordos;In shop;
46;35;Peanut ;Raw;Pealed;No Salt;Asia;0,131 kg;Marousi;Hasioti;March 2024;Miliordos;In shop;
47;36;Peanut ;Raw;Unpealed;No Salt;Asia;0,136 kg;Marousi;Hasioti;March 2024;Miliordos;In shop;
48;37;Pistachios;Raw;In- shell;no salt;Greece, PDO Aigina;0,111 kg;Marousi;Hasioti;March 2024;Miliordos;In shop;
49;38;Pistachios;Raw;In- shell;no salt;Turkey;0,106 kg;Marousi;Hasioti;March 2024;Miliordos;In shop;
50;39;Peanut ;Roasted ;Unpealed;Salted;Egypt;0,100 kg;Marousi;Hasioti;March 2024;Miliordos;In shop;
51;40;Pistachios;Raw;In- shell;no salt;Egypt;0,110 kg;Marousi;no name;March 2024;Miliordos;In shop;
52;41;Pistachios;Raw;no shell;No Salt;Egypt;0,084;Marousi;no name;March 2024;Miliordos;In shop;
53;42;Peanut ;Roasted ;Unpealed;Salted;Iran;0,112 kg;Marousi;no name;March 2024;Miliordos;In shop;
54;43;Cascius peanut;Raw;Pealed ;No Salt;Vietnam;0,125 kg;Likovrysi;ITAP;February 2024;Miliordos;In shop;
55;44;Peanut ;Raw;Pealed;No Salt;Greece;0,075 kg;Marousi;no name;March 2024;Miliordos;In shop;
56;45;Peanut ;Raw;Unpealed;No Salt;Greece;0,076 kg;Marousi;no name;March 2024;Miliordos;In shop;
57;46;Pistachios;Raw;In- shell;no salt;Greece;0,116 kg;Melissia;Mini Market;March 2024;Miliordos;In shop;
58;47;Pistachios;Raw;In- shell;no salt;Greece;0,059 kg;Melissia;Mini Market;March 2024;Miliordos;In shop;
59;48;Peanut ;Roasted ;Unpealed;Salted;Greece;0,076kg;Melissia;Mini Market;March 2024;Miliordos;In shop;
60;49;Peanut ;Roasted ;Unpealed;Salted;Iran;0,074 kg;Melissia;Mini Market;March 2024;Miliordos;In shop;
61;50;Pistachios;Raw;no shell;No Salt;Egypt;0,075;Melissia;Mini Market;March 2024;Miliordos;In shop;
62;149-150;Pistachios ;Roasted ;In- shell;Salted;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
63;185-100;Pistachios (nutmeat);Raw;no shell;No Salt;Greece;0,100 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
64;143-250;Peanut;Roasted ;Unpealed;Salted;Greece, PDO Aigina;0,250 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
65;928-150;Pistachios ;Roasted ;In- shell;No Salt;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
66;2412-250;Peanut;Roasted ;Pealed ;No Salt;Argentina;0,250 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
67;282-250;Peanut;Roasted ;Pealed ;Salted;Argentina;0,250 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
68;409-150;Pistachios;Raw;In- shell;No Salt;Greece;0,150 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
69;2762-250;Peanut ;Raw;Pealed;No Salt;Argentina;0,250 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
70;205-100;Pistachios (nutmeat);Roasted ;no shell;Salted;Greece;0,100 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
71;277-200;Peanut;Raw;Pealed;No Salt;Greece;0,200 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
72;479-250;Peanut;Roasted ;Unpealed;No Salt;Greece;0,200 kg;Omonoia;1001 yefseis;March 2024;Miliordos;internet shop;
