code ;Product Type;Company;Product name ;Country of origin;Delivered to ITAP;sampling date;Retailer;DON;HT-2;T-2;
O1;Oat flakes wholegrain;Quaker Oats In Cupar, TastyFoods;QUAKER OAT FLAKES WHOLEGRAIN;UK;AB;14.10.24;AB;;;;
O2;Oat Flakes;Emma Grown for good;Flakes Oat Fine;Czech Republic;AB;14.10.24;AB;;;;
O3;Oat Flakes Wholegrain;Quaker Oats;Oat So Simple Protein Cinnamon Flavor;UK;AB;14.10.24;AB;;;;
O4;Oat Flakes Wholegrain;Quaker Oats In Cupar, TastyFoods;QUAKER OAT FLAKES WHOLEGRAIN;UK;AB;14.10.24;AB;;;;
O5;Oat flakes Gluten Free;Nature's promise;Bio Oat Flakes big leaf;Czech Republic;AB;14.10.24;AB;;;;
O6;Oat flakes  with berries;Yotis;Fytro Whole Grain Oat Flakes with superfruits;Greece;AB;14.10.24;AB;;;;
O7;Oat flakes  with berries;Yotis;Fytro Whole Grain Oat Flakes ;Greece;AB;14.10.24;AB;;;;
O8;Oat flakes Gluten Free;Nature's promise;Bio Oat Flakes Fine ;Czech Republic;AB;14.10.24;AB;;;;
O9;Oat flakes;Ekologiki agora;Oat flakes - To perivoli;Greece ;Lytou;24.10.24;Viologiko Chorio;;;;
O10;Oat flakes gluten free;Biohealth ltd, EPE;Ola Bio Oat Flakes;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O13;Oat Flakes Wholegrain small leaf;Simply bio - Bioygeia EPE;Simply bio Oat flakes small leaf;Latvia;Lytou;24.10.24;Viologiko Chorio;;;;
O12;Oat Flakes Wholegrain;Spielberger Muhle, Bioygeia EPE;Spielberger Hafenflocken Grobblatt;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O11;Oat bran;simply bio - Bioygeia EPE;simply bio Oat bran;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O14;Oat flakes;Amisa oats, Netherlands;Amisa Pure porridge oats ;Netherlands (near east);Lytou;24.10.24;Viologiko Chorio;;;;
O15;Oat flakes big leaf;Biohealth ltd, Rapunzel;Hafer Flocken;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O16;Oat flakes;Ekologiki agora;Oat bran - To perivoli;Greece ;Lytou;24.10.24;Viologiko Chorio;;;;
O17;Oat;Biohealth ltd, EPE;Oat Ola Bio ;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O18;Oat flakes small leaf;Biohealth ltd, Rapunzel;Hafer Flocken;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O19;Organic Oat flakes wholegrain;B.D.L Organic Foods;Oat flakes;Greece;Lytou;24.10.24;Viologiko Chorio;;;;
O20;Oat flakes wholegrain;Biohealth ltd, EPE;Ola Bio Oat Flakes small leaf;Germany;Lytou;24.10.24;Viologiko Chorio;;;;
O21;organic oat flakes;Biofresco;Oat flakes;EU;Lytou;30.10.24;Greenhousebio;;;;
O22;Organic Oat flakes wholegrain;Antonopoulos Farm;Oat flakes wholegrain;Greece, Dilofos  Narthakiou;Lytou;30.10.24;Greenhousebio;;;;
O23;;Nederlandse havermout;Wissel waar ;Nederlands;Lytou;30.10.24;Greenhousebio;;;;
O24;organic Oat flakes Gluten Free;Bioagros;Eat free Oat flakes;Greece, Pella ;Lytou;30.10.24;Greenhousebio;;;;
O25;oat flakes whole grain with beta glucan;Bioagros;Organic Oat flakes Wholegrain;Greece, Pella ;Lytou;30.10.24;Greenhousebio;;;;
O26;oat flakes whole grain large leaf;Bioagros;Organic Oat flakes Wholegrain large leaf;Italy;Lytou;30.10.24;Greenhousebio;;;;
O27;Wholegrain oats gluten free;Bioagros;Nairn's Scottish porridge oats;Scotland;Lytou;30.10.24;Greenhousebio;;;;
O28;wholegrain oats flakes;CrownField;OatFlakes Fine;Greece EU;Lytou;30.10.24;Lidl;;;;
O29;Oat bran Wholegrain with β-glucans Organic;Bioagros;Oat bran Wholegrain ;EU;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O30;Oat flakes Wholegrain Organic;Ola Bio (Βιουγεία ΑΕ);Oat flakes Wholegrain;EU;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O31;Oat bran Organic;Ola Bio (Βιουγεία ΑΕ);Oat bran;EU;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O32;Oat bran Organic;Bioagros;Oat bran;EU;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O33;Bioblastos Oat bran Organic;Biovlastos;Oat bran;Germany;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O34;Oat flakes Wholegrain with β-glucans Organic;Bioagros;Oat flakes Wholegrain;EU;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O35;Oat bran;simply bio - Bioygeia EPE;simply bio Oat bran;Germany;Natskoulis;11.06.2025;Prasino Biomarket Chalandri;;;;
O36;Oat flakes whole grain;Nutrivalley;Oat flakes NutriValley;EU;Lytou;18.06.2025;Sklavenitis;;;;
O37;Oat flour whole grain;Ola Bio (Βιουγεία ΑΕ);spora gis oat flour;;Natskoulis;17.06.2025;Poikilopwleio Aigalew;;;;
O38;Oat bran ;Amrita;Amrita Oat bran;EU;Natskoulis;17.06.2025;Poikilopwleio Aigalew;;;;
O39;Oat bran;Krousarakis;;UK;Natskoulis;17.06.2025;Poikilopwleio Aigalew;;;;
O40;Oat flour whole grain;Antonopoulos Farm;Oat flour whole grain;Greece;Lytou;18.06.2025;Ilianthos Peristeri;;;;
O41;Oat flakes ;Biodwros Gaia;Oat flakes Pellas;Pella, Greece;Lytou;18.06.2025;Ilianthos Peristeri;;;;
O42;Oat flakes  gluten free;Biodwros Gaia;Oat flakes gluten free;Germany;Lytou;18.06.2025;Ilianthos Peristeri;;;;
O43;Oat flakes Wholegrain with β-glucans Organic;Bioagros;Oat flakes Wholegrain;EU;Lytou;18.06.2025;Ilianthos Peristeri;;;;
